State,Agency Type,Agency Name,Population1,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Kidnapping/ Abduction,Sex Offenses,Rape,Sodomy,Fondling,"Sex Offenses, Nonforcible",Statutory Rape,Arson,Burglary/ Breaking & Entering,Counter- feiting/ Forgery,Destruction/ Damage/ Vandalism,Embezzle- ment,Fraud Offenses,False Pretenses/ Swindle/ Confidence Game,Credit Card/ Automated Teller Machine Fraud,Imperson- ation,Wire Fraud,Larceny- Theft Offenses,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin- operated Machine,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses ,Drug/ Narcotic Offenses,Drug/ Narcotic Violations,Drug Equipment Violations,Porno- graphy/ Obscene Material,Weapon Law Violations,Total Offenses
MASSACHUSETTS,Cities,Oxford,13880.0,128.0,32.0,69.0,27.0,1.0,8.0,4.0,2.0,4.0,2.0,2.0,3.0,44.0,7.0,104.0,2.0,116.0,99.0,10.0,7.0,2.0,176.0,1.0,55.0,6.0,1.0,5.0,2.0,107.0,11.0,11.0,5.0,18.0,18.0,12.0,3.0,5.0,1090.0
MASSACHUSETTS,Cities,Palmer,12257.0,238.0,40.0,162.0,36.0,2.0,10.0,4.0,1.0,5.0,2.0,2.0,3.0,116.0,10.0,98.0,1.0,29.0,12.0,7.0,10.0,2.0,135.0,2.0,10.0,13.0,1.0,20.0,4.0,88.0,18.0,3.0,10.0,45.0,44.0,1.0,2.0,10.0,1190.0
MASSACHUSETTS,Cities,Paxton,4864.0,17.0,2.0,13.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,16.0,2.0,17.0,2.0,6.0,1.0,4.0,4.0,1.0,20.0,2.0,10.0,1.0,1.0,2.0,4.0,17.0,1.0,3.0,1.0,5.0,5.0,12.0,2.0,4.0,135.0
MASSACHUSETTS,Cities,Peabody,52113.0,467.0,99.0,285.0,83.0,2.0,21.0,11.0,1.0,9.0,3.0,3.0,3.0,156.0,26.0,594.0,3.0,206.0,88.0,43.0,75.0,2.0,929.0,2.0,186.0,28.0,1.0,143.0,1.0,565.0,56.0,12.0,40.0,71.0,70.0,1.0,2.0,10.0,4306.0
MASSACHUSETTS,Cities,Pepperell,11719.0,142.0,14.0,82.0,46.0,2.0,2.0,1.0,1.0,4.0,5.0,5.0,2.0,50.0,4.0,135.0,2.0,39.0,23.0,8.0,8.0,2.0,137.0,2.0,5.0,23.0,1.0,60.0,1.0,48.0,7.0,3.0,6.0,8.0,8.0,12.0,2.0,4.0,873.0
MASSACHUSETTS,Cities,Pittsfield,44868.0,896.0,119.0,675.0,102.0,2.0,61.0,35.0,8.0,18.0,22.0,17.0,5.0,378.0,59.0,437.0,11.0,115.0,73.0,9.0,33.0,2.0,781.0,18.0,132.0,121.0,1.0,115.0,3.0,373.0,45.0,38.0,40.0,73.0,73.0,12.0,7.0,37.0,4957.0
MASSACHUSETTS,Cities,Plainville,8396.0,41.0,6.0,29.0,6.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,26.0,6.0,41.0,2.0,16.0,1.0,15.0,4.0,2.0,125.0,2.0,32.0,21.0,1.0,25.0,4.0,43.0,4.0,3.0,4.0,10.0,10.0,12.0,2.0,4.0,476.0
MASSACHUSETTS,Cities,Plympton,2862.0,21.0,2.0,10.0,9.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,34.0,3.0,31.0,1.0,6.0,4.0,1.0,1.0,2.0,48.0,2.0,10.0,5.0,1.0,15.0,4.0,28.0,1.0,3.0,1.0,3.0,3.0,12.0,2.0,4.0,235.0
MASSACHUSETTS,Cities,Princeton,3454.0,14.0,1.0,6.0,7.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,28.0,5.0,36.0,2.0,2.0,1.0,6.0,1.0,2.0,20.0,2.0,10.0,5.0,1.0,6.0,4.0,9.0,1.0,3.0,3.0,34.0,25.0,12.0,2.0,4.0,137.0
MASSACHUSETTS,Cities,Provincetown,2966.0,93.0,27.0,58.0,8.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,13.0,2.0,34.0,1.0,18.0,14.0,2.0,2.0,2.0,106.0,2.0,13.0,28.0,1.0,2.0,4.0,59.0,6.0,3.0,2.0,7.0,7.0,12.0,2.0,2.0,515.0
